date,attr,value,a,b,c,d
20140210,TMAX,-16,,,W,2400
20140210,TMIN,-60,,,W,2400
20140210,PRCP,0,,,W,2400
20140210,SNOW,0,,,W,
20140210,SNWD,250,,,W,
20140210,AWND,32,,,W,
20140210,WDF2,310,,,W,
20140210,WDF5,320,,,W,
20140210,WSF2,67,,,W,
20140210,WSF5,116,,,W,
20140211,TMAX,-32,,,W,2400
20140211,TMIN,-88,,,W,2400
20140211,PRCP,0,,,W,2400
20140211,SNOW,0,,,W,
20140211,SNWD,250,,,W,
20140211,AWND,24,,,W,
20140211,WDF2,280,,,W,
20140211,WDF5,270,,,W,
20140211,WSF2,63,,,W,
20140211,WSF5,89,,,W,
20140212,TMAX,-38,,,W,2400
20140212,TMIN,-105,,,W,2400
20140212,PRCP,0,,,W,2400
20140212,SNOW,0,,,W,
20140212,SNWD,250,,,W,
20140212,AWND,26,,,W,
20140212,WDF2,60,,,W,
20140212,WDF5,50,,,W,
20140212,WSF2,63,,,W,
20140212,WSF5,85,,,W,
20140213,TMAX,22,,,W,2400
20140213,TMIN,-43,,,W,2400
20140213,PRCP,452,,,W,2400
20140213,SNOW,241,,,W,
20140213,SNWD,300,,,W,
20140213,AWND,56,,,W,
20140213,WDF2,60,,,W,
20140213,WDF5,80,,,W,
20140213,WSF2,112,,,W,
20140213,WSF5,174,,,W,
20140214,TMAX,44,,,W,2400
20140214,TMIN,-5,,,W,2400
20140214,PRCP,76,,,W,2400
20140214,SNOW,76,,,W,
20140214,SNWD,460,,,W,
20140214,AWND,47,,,W,
20140214,WDF2,290,,,W,
20140214,WDF5,280,,,W,
20140214,WSF2,98,,,W,
20140214,WSF5,170,,,W,
20140215,TMAX,28,,,W,2400
20140215,TMIN,-27,,,W,2400
20140215,PRCP,33,,,W,2400
20140215,SNOW,41,,,W,
20140215,SNWD,460,,,W,
20140215,AWND,42,,,W,
20140215,WDF2,60,,,W,
20140215,WDF5,310,,,W,
20140215,WSF2,81,,,W,
20140215,WSF5,130,,,W,
20140216,TMAX,-10,,,W,2400
20140216,TMIN,-60,,,W,2400
20140216,PRCP,0,,,W,2400
20140216,SNOW,0,,,W,
20140216,SNWD,460,,,W,
20140216,AWND,40,,,W,
20140216,WDF2,310,,,W,
20140216,WDF5,300,,,W,
20140216,WSF2,81,,,W,
20140216,WSF5,139,,,W,
20140217,TMAX,0,,,W,2400
20140217,TMIN,-77,,,W,2400
20140217,PRCP,0,,,W,2400
20140217,SNOW,0,,,W,
20140217,SNWD,430,,,W,
20140217,AWND,24,,,W,
20140217,WDF2,310,,,W,
20140217,WDF5,300,,,W,
20140217,WSF2,72,,,W,
20140217,WSF5,107,,,W,
20140218,TMAX,39,,,W,2400
20140218,TMIN,-32,,,W,2400
20140218,PRCP,41,,,W,2400
20140218,SNOW,38,,,W,
20140218,SNWD,460,,,W,
20140218,AWND,23,,,W,
20140218,WDF2,280,,,W,
20140218,WDF5,280,,,W,
20140218,WSF2,72,,,W,
20140218,WSF5,134,,,W,
20140219,TMAX,72,,,W,2400
20140219,TMIN,11,,,W,2400
20140219,PRCP,66,,,W,2400
20140219,SNOW,0,,,W,
20140219,SNWD,430,,,W,
20140219,AWND,23,,,W,
20140219,WDF2,150,,,W,
20140219,WDF5,290,,,W,
20140219,WSF2,72,,,W,
20140219,WSF5,116,,,W,
20140220,TMAX,106,,,W,2400
20140220,TMIN,28,,,W,2400
20140220,PRCP,8,,,W,2400
20140220,SNOW,0,,,W,
20140220,SNWD,380,,,W,
20140220,AWND,22,,,W,
20140220,WDF2,160,,,W,
20140220,WDF5,180,,,W,
20140220,WSF2,63,,,W,
20140220,WSF5,89,,,W,
20140221,TMAX,94,,,W,2400
20140221,TMIN,22,,,W,2400
20140221,PRCP,23,,,W,2400
20140221,SNOW,0,,,W,
20140221,SNWD,330,,,W,
20140221,AWND,33,,,W,
20140221,WDF2,290,,,W,
20140221,WDF5,290,,,W,
20140221,WSF2,94,,,W,
20140221,WSF5,143,,,W,
20140222,TMAX,122,,,W,2400
20140222,TMIN,44,,,W,2400
20140222,PRCP,0,,,W,2400
20140222,SNOW,0,,,W,
20140222,SNWD,250,,,W,
20140222,AWND,32,,,W,
20140222,WDF2,260,,,W,
20140222,WDF5,260,,,W,
20140222,WSF2,76,,,W,
20140222,WSF5,130,,,W,
20140223,TMAX,122,,,W,2400
20140223,TMIN,61,,,W,2400
20140223,PRCP,0,T,,W,2400
20140223,SNOW,0,,,W,
20140223,SNWD,230,,,W,
20140223,AWND,24,,,W,
20140223,WDF2,290,,,W,
20140223,WDF5,300,,,W,
20140223,WSF2,81,,,W,
20140223,WSF5,134,,,W,
20140224,TMAX,67,,,W,2400
20140224,TMIN,-27,,,W,2400
20140224,PRCP,0,,,W,2400
20140224,SNOW,0,,,W,
20140224,SNWD,150,,,W,
20140224,AWND,42,,,W,
20140224,WDF2,320,,,W,
20140224,WDF5,280,,,W,
20140224,WSF2,76,,,W,
20140224,WSF5,125,,,W,
20140225,TMAX,6,,,W,2400
20140225,TMIN,-43,,,W,2400
20140225,PRCP,0,,,W,2400
20140225,SNOW,0,,,W,
20140225,SNWD,150,,,W,
20140225,AWND,31,,,W,
20140225,WDF2,280,,,W,
20140225,WDF5,280,,,W,
20140225,WSF2,81,,,W,
20140225,WSF5,121,,,W,
20140226,TMAX,-5,,,W,2400
20140226,TMIN,-66,,,W,2400
20140226,PRCP,8,,,W,2400
20140226,SNOW,5,,,W,
20140226,SNWD,150,,,W,
